stops,measured_Z8_HLG_IRE,source_chart_HLG_theory_IRE,calibrated_BT2100_HLG_IRE,final_reverse_curve_IRE,region
-10.00000000,3.0819463514,1.1640884475,1.1261549558,0.3981559029,shadow_linear_connection
-9.98000000,3.0907745637,1.1622473972,1.1339879829,0.4037139522,shadow_linear_connection
-9.96000000,3.0984371682,1.1632311493,1.1418754931,0.4093495890,shadow_linear_connection
-9.94000000,3.1050051149,1.1667920442,1.1498178653,0.4150638963,shadow_linear_connection
-9.92000000,3.1105493538,1.1726824222,1.1578154810,0.4208579724,shadow_linear_connection
-9.90000000,3.1151408351,1.1806546238,1.1658687245,0.4267329307,shadow_linear_connection
-9.88000000,3.1188505087,1.1904609893,1.1739779828,0.4326899004,shadow_linear_connection
-9.86000000,3.1217493246,1.2018538592,1.1821436454,0.4387300264,shadow_linear_connection
-9.84000000,3.1239082330,1.2145855737,1.1903661047,0.4448544693,shadow_linear_connection
-9.82000000,3.1253981839,1.2284084733,1.1986457557,0.4510644063,shadow_linear_connection
-9.80000000,3.1262901273,1.2430748985,1.2069829963,0.4573610307,shadow_linear_connection
-9.78000000,3.1266550132,1.2583371895,1.2153782269,0.4637455528,shadow_linear_connection
-9.76000000,3.1265637917,1.2739476867,1.2238318510,0.4702191995,shadow_linear_connection
-9.74000000,3.1260874129,1.2896587306,1.2323442747,0.4767832149,shadow_linear_connection
-9.72000000,3.1252968267,1.3052226616,1.2409159070,0.4834388605,shadow_linear_connection
-9.70000000,3.1242629832,1.3203918199,1.2495471597,0.4901874155,shadow_linear_connection
-9.68000000,3.1204033010,1.3330013176,1.2582384476,0.4970301769,shadow_linear_connection
-9.66000000,3.1204033010,1.3422155241,1.2669901881,0.5039684596,shadow_linear_connection
-9.64000000,3.1204033010,1.3471314752,1.2758028017,0.5110035971,shadow_linear_connection
-9.62000000,3.1204033010,1.3517672388,1.2846767120,0.5181369415,shadow_linear_connection
-9.60000000,3.1204033010,1.3575661784,1.2936123452,0.5253698637,shadow_linear_connection
-9.58000000,3.1204033010,1.3641350331,1.3026101306,0.5327037536,shadow_linear_connection
-9.56000000,3.1204033010,1.3710805422,1.3116705005,0.5401400209,shadow_linear_connection
-9.54000000,3.1204033010,1.3780094448,1.3207938904,0.5476800946,shadow_linear_connection
-9.52000000,3.1204033010,1.3845284801,1.3299807384,0.5553254239,shadow_linear_connection
-9.50000000,3.1204033010,1.3902443874,1.3392314860,0.5630774779,shadow_linear_connection
-9.48000000,3.1204033010,1.3947639058,1.3485465776,0.5709377466,shadow_linear_connection
-9.46000000,3.1204033010,1.3976937746,1.3579264609,0.5789077405,shadow_linear_connection
-9.44000000,3.1204033010,1.4089533731,1.3673715863,0.5869889914,shadow_linear_connection
-9.42000000,3.1204033010,1.4215882550,1.3768824078,0.5951830524,shadow_linear_connection
-9.40000000,3.1204033010,1.4348819324,1.3864593823,0.6034914981,shadow_linear_connection
-9.38000000,3.1204033010,1.4486377750,1.3961029700,0.6119159255,shadow_linear_connection
-9.36000000,3.1204033010,1.4626591523,1.4058136341,0.6204579535,shadow_linear_connection
-9.34000000,3.1204033010,1.4767494340,1.4155918412,0.6291192238,shadow_linear_connection
-9.32000000,3.1204033010,1.4907119897,1.4254380611,0.6379014009,shadow_linear_connection
-9.30000000,3.1204033010,1.5043501889,1.4353527669,0.6468061726,shadow_linear_connection
-9.28000000,3.1204033010,1.5174674014,1.4453364349,0.6558352503,shadow_linear_connection
-9.26000000,3.1204033010,1.5272372985,1.4553895448,0.6649903692,shadow_linear_connection
-9.24000000,3.1204033010,1.5316786299,1.4655125796,0.6742732888,shadow_linear_connection
-9.22000000,3.1204033010,1.5377954531,1.4757060258,0.6836857932,shadow_linear_connection
-9.20000000,3.1204033010,1.5451945074,1.4859703729,0.6932296912,shadow_linear_connection
-9.18000000,3.1204033010,1.5534825319,1.4963061142,0.7029068170,shadow_linear_connection
-9.16000000,3.1204033010,1.5622662660,1.5067137463,0.7127190305,shadow_linear_connection
-9.14000000,3.1204033010,1.5711524487,1.5171937692,0.7226682174,shadow_linear_connection
-9.12000000,3.1204033010,1.5797478193,1.5277466864,0.7327562898,shadow_linear_connection
